time,text
2024-04-13T12:32:42.460+03:00,"{$QIWI} интересно, есть компании {$OZON} {$OKEY} {$FIXP} которые генерируют либо отрицательную либо крайне низкую, по сравнению с капитализацией, чистую прибыль, про {$VKCO} вообще молчу и они не складываются в 2-3 раза. 

НО возьмём {$QIWI}, капитализация компании не изменилась на фоне ликвидации АО ""Киви-банка"", поскольку они её уже продали, АО ""Киви Финанс"" продолжит работать (уже заключили несколько договоров с партнёрами и продолжают вести переговоры с банками), а значит дебиторская задолженность перед QIWI PLC будет исполнена. Также знаем, что в июле по истечению срока ликвидации АО ""Киви банка"", QIWI PLC получит 9 млрд. Действительно, что QIWI PLC, что АО "" Киви Финанс"" сразу вернуться к прежней прибыли не сможет, но при этом есть огромный потенциал, в отличие от вышеперечисленных организаций. 


ОДНАКО акции QIWI PLC сложились в 3 раза, некоторые утверждают, что она банкрот и т.д., но капитализация не изменилась. Та капитализация, которая показана в ""Показателях"" Рассчитывается как кол-во акций умноженные на рыночную цену акций, не учитывая дебиторскую задолженность и интеллектуальную собственность. 

Теперь прошу инвесторов, утверждающих, что она банкрот и т.д. объяснить чем QIWI PLC отличается от вк, фикспрайса и озона и почему QIWI PLC банкрот?"
2024-04-13T10:49:31.404+03:00,{$FIXP} аналитики обещали вырастет на плюс 100500.
2024-04-13T10:48:03.511+03:00,"{$FIXP} добрый день подскажите пожалуйста, почему биржа закрыта ?"
2024-04-13T10:47:17.844+03:00,"{$ETLN} {$FIXP} {$AFLT} {$POSI} {$AFKS} {$VTBR} {$BSPB} 
почему биржа закрыта? Кто в курсе?

Заявки обнулили..."
2024-04-13T00:41:58.937+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из 2-3 эшелона:

📈 Энергия ркк -5.3% {$RKKE} 
Всмпо -3.4% {$VSMO} 
Евротранс -2.7% {$EUTR} 
Делимобиль -2.3% {$DELI} 
Хендерсон -1.9% {$HNFG} 
Чмк -1.8% {$CHMK}  
Русснефть -1.4% {$RNFT}  
Эталон -1.3% {$ETLN} 
Новабев -1.1% {$BELU}  
Лср -1.1% {$LSRG} 
Фикспрайс -0.9% {$FIXP} 
Соллерс -0.7% {$SVAV}  
Куйбышев -0.6% {$KAZT} 


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T23:56:55.488+03:00,"{$FIXP} 
Д-Рост 
Ну ладно будем надеется что вырастет"
2024-04-12T22:26:40.388+03:00,"Ну и немножко {$FIXP} взял
Упёрлись в поддержку + подходим к ема200 на 1ч
Тейк 318р
Стоп 311р
Не иир

Подписывайся! 😉"
2024-04-12T22:23:01.573+03:00,{$FIXP}
2024-04-12T22:00:45.165+03:00,"{$FIXP} на этом мои полномочия всё, я вообще перестал понимать что движет папирой 😡немного злюся 🤬"
2024-04-12T21:31:59.805+03:00,"{$FIXP} Ну добавил 314.
Не хочу, но могу и должен(обязан, надо).
Чё у нас там снизу 308/300/290/257, 5  ? Знакомые всё места...."
2024-04-12T20:57:28.749+03:00,{$FIXP} люди все больше перестают верить в рост бумаги. Очень печально
2024-04-12T20:47:57.577+03:00,{$FIXP} 💩 несерьёзная бумага
2024-04-12T20:17:59.373+03:00,"{$FIXP} Ну чтож, тренд сменился на внисходящий. Печаль!"
2024-04-12T19:08:38.896+03:00,"{$FIXP} Весь смысл этой недели
В одном. Не уйти ниже 313.1.
 И это будет хорошо.
И ещё. 
Пока вы сидите, стонете, ноете и плачетесь, кто то бъëтся за вас."
2024-04-12T15:54:21.132+03:00,"#магнит  В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Просили разобрать на магниты {$MGNT}, сейчас будет😉компания РФ, не депозитарная расписка, 2 место в РФ в продуктовом ритейле после {$FIVE}, конкуренты типа {$FIXP} {$LENT} {$OKEY} не в счёт, потому что по размеру не сопоставимы👍
Отчёт рсбу 2023 год:
Выручка упала на 22%
Чистая прибыль выросла почти в 2 раза, по отношению к 2021 году, 2022 год не беру потому что там почти в ноль сработали
Компания смогла переложить маржу на потребителя, но конкурент пятёрочка и другие забрали часть выручки, не считаю страшным, из года в год перетягивают друг у друга
Перспективы: с каждым годом растёт цена на продукты намного, значит и прибыль и выручка будут увеличиваться, магнит выкупил 21.5% своих акций у нерезидентов, значит все акционеры в большом плюсе👍 прибыль большая, значит дивы прогнозируются в районе 11-13%, напомню что ещё была выплата 6% до этого в этом году, 17% дивов очень заманчиво😉
Минусы: магнит неповоротливая массивная компания, изменений много не заметил за последние годы, может растерять клиентов из за своей отсталости в области инноваций, но это нескоро😉
В итоге держу фьюч лонг {$MNU4} жду роста выше на хаи исторические на высоких дивах и инфляции в РФ, позитивно смотрю на компанию в ближайшем будущем, что думаете пишите ниже😉"
2024-04-12T15:43:18.532+03:00,"{$FIXP} Как же эта тягомотина надоела. Держу с декабря ,вырастет она когда -нибудь ,или так и будет бултыхаться как пьяный мужик в луже. Ваше мнение?"
2024-04-12T13:00:03.405+03:00,{$FIXP} чё там пружина сжимается😄
2024-04-12T12:49:03.737+03:00,{$FIXP} Давайте все дружно сюда китов позовём.
2024-04-12T12:29:09.316+03:00,"{$FIXP} Есть контакт. Убавил 317.
""Ну вот и всë, а ты боялась. Только юбочка помялась"""
2024-04-12T11:31:17.793+03:00,"{$FIXP} Ну добавил 314.
Пошла свободная охота. Пока лëгкий экстрим. 
 Хошь бери, хошь не бери. Дело твоë."
2024-04-12T11:07:19.673+03:00,{$FIXP} Ну добавил 315.
2024-04-12T11:02:09.203+03:00,{$FIXP} получается вниз на 240 сходим??
2024-04-12T10:54:11.136+03:00,"{$FIXP} плохих новостей нет,индекс растет это недоразумение вниз."
2024-04-12T10:22:13.812+03:00,"{$FIXP} видимо сегодня еще ниже, чем вчера закроемся"
2024-04-12T10:14:49.189+03:00,{$FIXP} 🚀🚀🚀🚀🚀
2024-04-12T10:07:16.030+03:00,{$FIXP} 12 апреля международный день хомяка
2024-04-12T09:43:12.874+03:00,"{$FIXP}  С утра уверенный рост.
318 и выше-успешный успех. 
315 и ниже-зона свободной охоты.
Возможна Ракета. Хорошая полноценная Ракета.
 Драйвер- Новость о возврате к Стамбульскому договору. Если не фейк."
2024-04-12T09:13:08.615+03:00,"{$FIXP} 
@Tinkoff_Investments 
Тинькофф опять не может зачислить девиденды и держит мои деньги у себя на счетах.
Итого:
Всем начали начислять дивиденды в районе 28 марта.
1 апреля я написал в поддержку, что не зачислили дивиденды, взяли срок по обращению до 2 апреля.
2 апреля перенесли срок на 5 апреля.
5 апреля перенесли срок до 12 апреля.
12 апреля перенесли срок до 19 апреля и сослались, что закрыл счет, хотя я всего лишь закрыл ИИС и все бумаги перенеслись на брокерский счет.
Счет зачисления (банковская карта) не изменилась. В реестре получателей дивидендов я есть.
Молодцы, хороший брокер."
2024-04-12T09:10:55.204+03:00,"{$FIXP} сегодня не только день космонавтики 😀
С праздником всех🚀"
2024-04-12T08:57:04.100+03:00,{$FIXP} в день космонавтики желаю всем сегодня доброго полета🚀
2024-04-12T07:13:05.061+03:00,{$FIXP} в День космонавтики точно ракета! 🚀
2024-04-11T23:15:52.424+03:00,{$FIXP} вверх ща
