time,text
2024-04-12T00:03:01.492+03:00,"•Сейчас захотелось поискать ещё прибыльную идею и вот нашёл {$ROLO} 🚀🚀 🚀Завтра дам график по ней, ну и саму идею опубликую💸🤝😁
•Очень напоминает {$KROT} и {$KLSB} по которым я жду вынос вверх 17-25 апреля, если смотреть по графику☝️
•( НЕ ИИР )"
2024-04-11T15:08:26.279+03:00,{$KROT} подтолкните кто-нибудь уже
2024-04-11T11:07:12.456+03:00,"{$KROT}  Медленнее чем хотелось, с откатами  , но поднимается вверх! Пора к 2900! Не ИИР"
2024-04-10T19:43:20.138+03:00,"{$KROT} +7% от идеи🔥 где рассказывала, что акция вернула восходящий тренд, находится в зоне проторговки, при этом имеет неплохой потенциал роста📈

Ссылка на прогноз:
https://www.tinkoff.ru/invest/social/profile/iTradesRUS/8050b604-616f-483a-8d03-40e3a85bb57d
____________
Жми🚀лайк, если прогноз был полезен
✅Подпишись на Профиль - получай первым прогнозы и идеи на трендовые акции РФ🇷🇺

#инвестиции #акции #идея #обзор #трейдинг #прояви_себя_в_пульсе #аналитика #пульс_оцени"
2024-04-10T13:34:02.247+03:00,{$KROT} настал твой черёд пампов
2024-04-10T11:52:12.611+03:00,"{$KROT} индекс снизился чуть чуть упали, а назад не растем("
2024-04-10T10:23:26.325+03:00,{$KROT} почему пикируем?
2024-04-09T15:25:28.668+03:00,{$KROT} эта бумага живая вообще ?🫢
2024-04-09T00:41:14.002+03:00,"• Всем доброго времени суток! Даю обещанные РАЗБОРЫ)
• Сначала дам разбор новых идей🔥:
{$KROT} - формируется треугольник с пробитием вверх 🆙 ( скрин ниже )
{$EUTR} - жду продолжения роста ☝️( скрин ниже )
{$ABIO} - тут жду закрепления и выхода к 155 рублям ( скрин ниже)
{$ABRD} - жду выхода из треугольника🍷 ( скрин ниже)
{$KLSB} - идея идентична идеи по Красному октябрю, также жду среднесрочно выход вверх( скрин ниже)
{$RBCM} - эту идею хотел дать ещё вчера, но не сошлось. Тут скорее всего будет ещё 2 планки 💸( скрин ниже )
{$PMSB} - жду новости по дивидендам и дивидендной политики, цель 300 ( скрин ниже)🚀

• Разбор старых идей🔥:
{$RNFT} - начну с фаворита 😎( + 37% от идеи 29/03/2024) цели по нему остаются те же ( скрин ниже )
356 и 500 среднесрочно-долгосрочно
{$IRKT} - ( +7% от идеи 29/03/2024 ) цели 82 и 90 остаются
{$AFLT} - ( +10% от идеи 29/03/2024 ) все по плану идёт 😏
{$HHRU} - ( + 5% от идеи 29/03/2024) все также по плану идёт ☝️( скрин ниже)
{$SBER} - ( + 3 % от идеи 29/03/2024 ) также все по плану
{$WUSH} - ( -1% от идеи 29/03/2024 ) здесь как и в АСТРЕ ( -5% от идеи 29/03/2024 ) коррекция📈, жду скорого выхода у вуша к 340 и по астре жду завершения корррекции  в районе 580 ( там докуплю ) и среднесрочно цель 800 руб. остаётся.
• ( НЕ ИИР)😉
Ссылка на прошлый пост с идеями - https://www.tinkoff.ru/invest/social/profile/Student_investor_ht/e4643fc7-1f92-4b49-8c7c-fa9ee1cb4d92/"
2024-04-08T13:06:45.127+03:00,"{$KROT} 
🍫 ВКУСНЫЕ АКЦИИ.

Фабрика «Красный Октябрь» наша гордость и наша память. Названия конфет ее производства знала вся страна и с самого детства каждый обладал навыком сортировки, как у наперсточников: быстро выбрать самую вкусную из пакета для себя, или изготовить муляж из фантиков. 

❓Стало любопытно, кто стоит за истоком этого сахарного «наркокартеля» 😁. Какой-то Иван Федорович 200 лет назад решил завладеть сердцами тех, для кого жизнь была несладкой? Но, увы!  Немецкий кондитер Теодор Фон Эйнем основал свое детище в 1849 году и назвал его «Товарищество Эйнем». Детей у него не было и здоровьем был не крепок, бизнес вел совместно с другим немцем, учредителем, который поднимал компанию.
В 1885 году основной капитал составлял 500 тысяч рублей, 
в 1898 году — 900.000₽
В период 1910-1917 гг. фабрика заняла в России самое почетное место в кондитерской области. Стоимость роскошных краснокирпичных корпусов, мимо которых я люблю гулять, приезжая в Нерезиновую, на тот период оценивалась в 3,5 миллиона рублей 😎.

🅰️ История развития этого бизнеса интересна и увлекательна, как книга. Но описывать здесь ее не буду. Буду распята рыцарями ордена «многабукаф». 

🅱️ вопрос. Насколько сегодня хороши эти акции? 
Аналитики настроены скептически, утверждая, что:
▪️ бумага не самая надежная и очень спекулятивная.
Все, как мы любим 😄. 
▪️акции уже набрали рост и коррекция может быть глубокой, как рана от первой любви;
▪️ обороты на Мосбирже по акциям фабрики достигают 1 млрд рублей, поэтому можно предположить, что идет целенаправленная скупка акций крупными финансовыми участниками под определенный заказ.
▪️акция третьего эшелона, не голубая фишка: малая капитализация, большое количество спекулянтов.

🅾️ ОТЧЕТЫ: 
2021 - убыток ~223 млн.
2022 - прибыль более 601 млн рублей.
2023 - в первое полугодие на 14 млн. меньше заработано, чем в 2022, но с ростом выручки более, чем на 26%.
Общая рыночная капитализация составляет около 29 млрд рублей.

💯 Для любителей острых ощущений. 
📈 «Красный октябрь» — чемпион России по росту. Более 500 % прибавили ценные бумаги кондитерской фабрики с января по конец августа 2023 года. Если бы купили крота на 100 тыс.₽ в январе, то смогли бы увеличить счет к 22 августа в 6 раз до 600 000 рублей. 

Кто ванговал, остался в шоколаде. 
Кто мимо проходил, прошел…"
