time,text
2024-04-12T13:54:00.962+03:00,{$NOMPP} когда дивы по этой чудо акции?!
2024-04-08T10:20:43.403+03:00,{$NOMPP} ну и куда пропала информация о дивах 31 мая?!🤔
2024-04-08T07:36:26.954+03:00,"Небольшой отчет за 1 кв 2024: Согласно данным Тинька депо: январь: +9,98%, февраль: +11,4%, март: -0,23%. Фактически за 1 кв 2024 удалось прибавить 27% к депо. В общем хорошо. Январь-февраль главный трейд - это {$SFIN}. Еще хорошо поймал неликвиды {$KZIZP}, {$NTZL}, {$SFTL} получилось 20-49%. {$NOMPP} болтается в минусе. Подожду когда {$FLOT} объявит дивы, там если будет задёрг - сдам. В марте была коррекция по многим акциям, болтался ±5 % Давал надежду {$VKCO}, но он сейчас рынку не интересен, ну ничего отработает у меня позже он) Много историй недодержал. ту же {$RNFT}. Но количество трейдов снижается, уже меньше 1000 за месяц. Дальше буду более избирательным и выдержанным относительно акций с хорошим апсайдом. Сейчас вижу потенциал в {$LEAS} и {$GEMC} в течение 1-2 месяцев. Спекулятивно брал две недели назад {$RKKE} (+24% сейчас) и {$VSMO} (+15%). Надо было брать больше трейд был изначально довольно безопасный)) Удачных торгов!"
2024-04-02T21:59:19.000+03:00,"{$NOMPP} Сладкие дивиденды? 
0 рублей уже в мае?"
2024-04-02T15:03:09.460+03:00,"🤑🤑🤑ОТЧЁТ ЗА МАРТ🤑🤑🤑
•Всем добрейшего времени суток. Хочу поделиться своими успехами за прошедший месяц. В марте мне удалось откинуть со всех доходов 27 тыс. руб. + было частичное погашение по {$RU000A1058U6} в размере 3000 тыс. руб. Купонами я заработал чуть больше 500 руб.
•Распределение этих денег были по следующим активам:
•{$RU000A107WD7} они же #маникапитал 6 шт. Хороший купонный доход в размере 20% 
•{$SBER} 30 шт. Купил на ожиданиях дивидендов
•{$RU000A107795} они же #лаймзайм в размере 10 шт. Опять же из-за купонного дохода - 22% на дату публикации 
•{$NOMPP} - #новошип 8 шт., чтобы округлить до 10 шт.
•{$RU000A1053R3} они же #феррони 3 шт. - купонный доход 20%
•{$TATN} 1 шт. Так как эта единственная здоровая компания, которую можно купить на сдачу и не пожалеть!🙌
Вот такая картина на сегодняшний день. Мне будет очень интересно в какие активы, Вы готовы потратить свои 27к руб.
Как всегда желаю всем удачи и хорошей безопасной и безаварийной торговли!👍"
2024-04-02T12:36:08.516+03:00,{$NOMPP} Плита на покупку на 2 миллиона. К полёту готов?
2024-04-01T23:13:20.992+03:00,"Всем привет! 
Кто-нибудь в курсе почему по этой акции показывает дивиденды 0%? Первый раз такое вижу в Тинькофф. 🤔

{$NOMPP} 
#помощь_не_новичкам 
#помощь_новичкам"
2024-04-01T19:35:00.632+03:00,"{$NOMPP}
Интересная запись с нулевыми дивидендами.
Готовят сюрприз. М.б. и в рост пойдет."
2024-04-01T13:28:12.174+03:00,"#флот #подвиг #йемен #Красное_море #хуситы
ЗАБЫТЫЙ ПОДВИГ Вспомогательного флота.
Продолжение, начало тут : https://www.tinkoff.ru/invest/social/profile/kippr/82cad9c3-e2fb-42aa-9fee-7d25eed1e452?utm_source=share
Под бортом судна от огня танков прятались йеменские ракетные катера, командиры которых предупредили, что будут стрелять по нему, если танкер уйдет, лишив их прикрытия. Кроме того, 160-метровый танкер ограничен для самостоятельного, без буксиров, маневрирования в портах в силу своих конструктивных особенностей. С одним винтом во всех флотах мира это считается практически невозможным (многие опытные капитаны в это после не могли даже поверить!!!).
Но капитан Киреев ушел из бухты ночью, спасая судно и экипаж, обрубив швартовы и невероятным маневром, буквально ""на пятке"" развернувшись без буксиров. 
Второй помощник Вячеслав Чуприн и матрос Ю. Голубчук, прикрываясь фальшбортом от пуль, ползком подобрались к кнехту и разрезали толстые швартовные тросы. Моряки смертельно рисковали. Спасло от огня снайперов и то, что танкер был построен по военному проекту, с частично бронированной рубкой и бронестеклами, поскольку огонь велся в основном по капитанскому мостику с большого расстояния. А что чувствовал экипаж, находясь под огнем в состоянии полной неопределенности - догадаться нетрудно.
Маневрируя реверсом машины в свете пожаров (маяки были подбиты), капитан Киреев с трудом вывел танкер в море.
После выхода в море начальник радиостанции Владимир Анищенко восстановил связь с эскадрой и Москвой (антенны были перебиты пулями). На запрос Москвы, что же происходит в Адене, капитан Киреев просто выставил трубку в иллюминатор - грохот боя говорил сам за себя.
Лично министр обороны СССР по прямой связи поставил задачу капитану Кирееву найти дрейфовавшие в море без горючего катера с нашими военными советниками, покинувшими свои части, и вернуть их на берег.
Он их нашел и потом высадил обратно на берег - выполнять свой воинский долг, как надлежит советским офицерам, попавших в гражданскую междуусобицу, в которой брат шел на брата, а недавние сослуживцы безжалостно истребляли друг друга?! Это была не их война, но они воевали и гибли на ней.
Еще одна группа советников во главе с капитаном 1 ранга А.С. Мироновым и йеменскими офицерами, вынужденная выбираться на свой страх и риск, захватила лоцманский катер и вышла в море под огнем и практически без горючего. Они были близки к гибели, когда катер нашел советский корабль.
Затем танкер еще неделю (так и не разгрузившись) спасал беженцев и раненых, забирая их из района нефтезавода. В эвакуации участвовали гражданские суда,боевые корабли советской 8-й оперативной эскадры и английские корабли (эсминец D-87 ""Ньюкасл"", фрегат F-60 ""Юпитер"", океанографическое судно А-144 ""Гидра"" и королевская яхта ""Британия""). Геннадий Иванович после вспоминал, как на его глазах одна из шлюпок с ""Британии"" взлетела на воздух от прямого попадания снаряда, как погибли английские моряки и беженцы. Потом погибла еще одна шлюпка с королевской яхты.
Моряки под пулями и танковыми снарядами на спасательных шлюпках и рабочих катерах перевезли на корабли и суда почти шесть тысяч человек. Людей, в основном женщин и детей, увозили в порт Джибути, находящийся в десяти часах хода.
 Спасли также и персонал болгарского посольства.
Начальник радиостанции ""Колечицкого"" В. Анищенко, установив по радио наличие советских специалистов- нефтяников, забытых в районе Мукаллы, информировал об этом капитана, и еще около 100 человек было спасено моряками танкера.
Следующий рейс за беженцами был немного спокойнее -обошлось без стрельбы, но из-за мелководья люди в шлюпки и катера добирались по пояс в воде .Детей моряки несли на себе. Танкер еще несколько раз участвовал в эвакуации, пока не вывезли всех. /По воспоминаниям катитана танкера и материалам Сахончик Станислава Митрофановича/. 
Что ещё добавить о этих событиях: 
Продолжение следует.
{$FLOT} {$NOMPP} {$NOMP} {$FESH}"
2024-03-30T20:14:04.400+03:00,"#флот #подвиг #йемен #Красное_море #хуситы
ЗАБЫТЫЙ ПОДВИГ Вспомогательного флота.
Чем был интересен вспомогательных флот?
Боевые корабли требуют ремонта, топлива, воды и разных прочих ресурсов.
Поэтому требуется много невооружённым судов обеспечения. В составе флота они не числились, а относились к Дальневосточному морскому пароходству для Тихоокеанского флота, Новороссийского пароходства для Черноморского флота.
 В качестве маскировки, конечно. А так служба на них во вполне мирное время была чревата опасностью для жизни при выполнении задач.

Таковым танкером был ""Владимир Колечицкий"". Экипаж корабля совершил настоящий подвиг, который был ничем не отмечен и забыт. Увы...

В ноябре 1985г. танкер вышел из Владивостока на боевую службу в Красное море и 13 января 1986г. с десятью тысячами тонн горючего в танках и тридцатью тоннами бензина в трюме и на верхней палубе и в соответствии с приказом стал ""на бочку"" на рейде порта Аден, столицы Южного Йемена. Никто из моряков и в страшном сне не мог предполагать, что случится потом.
А в Адене в это время произошел военный переворот, и развернулись настоящие боевые действия между армией и флотом, стоящими на разных политических позициях.
Причиной послужило то, что по приказу генсека ЦК Йеменской социалистической партии Али Насера Мухаммеда прямо на заседании политбюро его охрана убила нескольких своих политических оппонентов.
В городе и на его подступах шли ожесточенные бои - ракетные катера обстреливали президентский дворец, им отвечали танки и артиллерия, в воздухе носились боевые самолеты, свистели снаряды, рвались ракеты. Город горел, снаряды катеров попадали в здание правительства и башню ""Литтл Бен"""", остановив башенные часы.
В городе и окрестностях действовали две танковых дивизии, мотопехотные бригады на автомашинах и бронетранспортерах подходили к городу из разных гарнизонов и с ходу ступали в бой. Танковыми частями командовал Фаттах Исмаил .
Флот и береговые части под командованием Насера Мухаммеда сражались на другой стороне. А йеменский флот в то время представлял немалую силу - 22 корабля, дивизион ракетных катеров, 2 танковых роты и бригаду морской пехоты. Крупнокалиберные береговые батареи, установленные еще англичанами, развернув башни, били своими тяжелыми снарядами по танкам. Аэродром Адена, полуразрушенный и горящий, переходил из рук в руки. По низколетящим самолетам била зенитная артиллерия кораблей и ПЗРК ""Стрела"", небо было покрыто черными шапками разрывов и трассами автоматических пушек. В первый же день было сбито 3 самолета.
Стоявший неподалеку от ""Колечицкого"" йеменский средний десантный корабль с бортовым номером 138 вел интенсивный огонь по самолетам и подбил один. В ответ СДК был атакован штурмовиками Су-7Б и потоплен ракетами.
""Колечицкий"", пришвартованный к ""бочке"", в узкой аденской бухте попал под перекрестный огонь с обоих берегов. Правда, обе враждующие стороны опасались попасть в танкер, прекрасно понимали, что его взрыв снес бы половину аденского порта, а горящее топливо уничтожило бы корабли в бухте и на рейде.
Однако это не мешало танкам стрелять по противнику почти между мачт ""Колечицкого"". В один из танков попал ответный крупнокалиберный снаряд береговой батареи, взорвался боекомплект и башня, кувыркаясь, пролетела над мостиком танкера и упала в море. В бухте перекрещивались огненные трассы зенитных ""шилок"", вставали разрывы реактивных снарядов установок ""Град"", горели и взрывались суда, совсем рядом тонул йеменский десантный корабль. Это был настоящий ад - на улицах горели десятки танков и бронетранспортеров.
Три долгих дня танкер ""Владимир Колечицкий"" находился в центре боя, осуществляя радиосвязь с посольством (посол СССР в Адене без санкции Москвы не давал разрешения на выход), пока капитан на свой страх и риск не принял решение самостоятельно уходить из порта - 30 тонн бензина на верхней палубе могли взорваться в любой момент от случайной пули или осколка. Но как это сделать?

Продолжение следует.
{$FESH}  {$NOMP} {$NOMPP} {$FLOT}"
